Country,Country Code,Year,Mental disorders,% Eating disorders,% Anxiety disorders,% Drug disorders,% Depressive disorders,%HappyPeople,Annual working hours per worker,GDP,Depressive disorders,Physical Activity,Drug use,Smoking,Life satisfaction,% people who are happy_y,Population,Productivity per hour worked,Region 1,Region 2,Continent,Paid work,Education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,Attending events,Seeing friends,TV and Radio,Other leisure activities
African Region (WHO),,1990,0.1241,0.001,0.0354,0.0044,0.0473,,,,0.0473,345561.95,806299.98,5458876.2,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1991,0.1241,0.001,0.0354,0.0044,0.0472,,,,0.0472,356865.92,923964.04,5568066.91,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1992,0.1242,0.001,0.0353,0.0044,0.0471,,,,0.0471,372355.36,1068154.1,5707866.07,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1993,0.1242,0.001,0.0353,0.0045,0.047,,,,0.047,382000.31,1225593.5,5747687.2,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1994,0.1242,0.001,0.0353,0.0045,0.047,,,,0.047,398836.95,1409416.26,5890762.85,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1995,0.1243,0.001,0.0353,0.0045,0.047,,,,0.047,411153.29,1606309.09,6037603.76,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1996,0.1245,0.001,0.0353,0.0045,0.0471,,,,0.0471,429070.72,1806584.74,6189282.67,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1997,0.1247,0.001,0.0353,0.0045,0.0473,,,,0.0473,454516.24,2013637.62,6413495.2,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1998,0.125,0.001,0.0352,0.0045,0.0476,,,,0.0476,472762.11,2207474.05,6547068.64,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,1999,0.1253,0.001,0.0352,0.0045,0.0479,,,,0.0479,486540.42,2388496.11,6554912.51,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2000,0.1254,0.001,0.0352,0.0045,0.048,,,,0.048,505653.91,2566576.17,6657859.52,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2001,0.1253,0.001,0.0352,0.0045,0.0479,,,,0.0479,516051.79,2720405.72,6653744.61,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2002,0.1252,0.001,0.0351,0.0045,0.0479,,,,0.0479,530638.22,2850407.4,6684981.95,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2003,0.1251,0.001,0.0351,0.0044,0.0478,,,,0.0478,544108.09,2950981.76,6746282.88,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2004,0.125,0.001,0.035,0.0044,0.0478,,,,0.0478,555471.51,3003632.98,6760103.79,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2005,0.1249,0.001,0.035,0.0044,0.0477,,,,0.0477,566599.99,2999117.65,6749314.66,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2006,0.1247,0.001,0.0351,0.0044,0.0476,,,,0.0476,581891.53,2936254.91,6782056.7,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2007,0.1245,0.001,0.0352,0.0043,0.0473,,,,0.0473,592512.68,2843427.49,6761040.25,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2008,0.1242,0.001,0.0354,0.0043,0.047,,,,0.047,607937.3,2738329.26,6770029.01,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2009,0.1239,0.001,0.0355,0.0043,0.0467,,,,0.0467,626004.55,2625542.94,6800982.17,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2010,0.1236,0.001,0.0356,0.0042,0.0465,,,,0.0465,643894.46,2548971.07,6821883.71,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2011,0.1233,0.0011,0.0356,0.0042,0.0462,,,,0.0462,660572.78,2485767.56,6834607.24,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2012,0.123,0.0011,0.0357,0.0042,0.046,,,,0.046,678547.78,2420648.68,6879035.02,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2013,0.1226,0.0011,0.0357,0.0041,0.0458,,,,0.0458,698147.27,2363105.01,6934432.85,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2014,0.1223,0.0011,0.0358,0.0041,0.0456,,,,0.0456,723195.63,2334915.31,7026309.87,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2015,0.1222,0.0011,0.0358,0.0041,0.0456,,,,0.0456,751422.96,2334937.17,7107361.16,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2016,0.1222,0.0011,0.0359,0.0041,0.0457,,,,0.0457,770835.5,2364186.13,7167193.41,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2017,0.1222,0.0011,0.036,0.0041,0.0458,,,,0.0458,794608.39,2389743.44,7250481.47,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2018,0.1222,0.0011,0.036,0.004,0.0459,,,,0.0459,804735.16,2411839.34,7324376.28,,,,,,,,,,,,,,,,,,,,,
African Region (WHO),,2019,0.1221,0.0011,0.0359,0.004,0.0459,,,,0.0459,819024.22,2471923.08,7423480.8,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1990,0.1152,0.001,0.0355,0.0068,0.0291,,,,0.0291,1712246.47,7166595.87,57558215.89,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1991,0.1159,0.001,0.0355,0.0068,0.0294,,,,0.0294,1792370.91,7539740.17,58840285.56,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1992,0.1164,0.001,0.0356,0.0068,0.0297,,,,0.0297,1875211.73,7847353.77,60117553.56,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1993,0.1169,0.001,0.0356,0.0068,0.0299,,,,0.0299,1951658.48,8105012.73,61285191.14,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1994,0.1171,0.001,0.0356,0.0068,0.03,,,,0.03,2007912.58,8414220.63,62232503.36,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1995,0.1172,0.001,0.0357,0.0068,0.03,,,,0.03,2064804.79,8684772.04,63414429.97,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1996,0.1171,0.001,0.0358,0.0068,0.0298,,,,0.0298,2097481.87,8821523.89,64417850.88,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1997,0.117,0.0011,0.0361,0.0067,0.0296,,,,0.0296,2099241.02,8845653.21,65101425.42,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1998,0.1168,0.0011,0.0364,0.0067,0.0292,,,,0.0292,2116756.79,8953851.64,66423785.0,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,1999,0.1166,0.0011,0.0367,0.0066,0.029,,,,0.029,2170866.19,8968886.69,68105290.01,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2000,0.1163,0.0011,0.0367,0.0066,0.0288,,,,0.0288,2245664.64,8966542.18,70046317.0,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2001,0.1159,0.0011,0.0365,0.0066,0.0288,,,,0.0288,2314784.99,8798046.34,71100915.2,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2002,0.1155,0.0011,0.036,0.0067,0.0288,,,,0.0288,2400514.34,8629366.02,72454340.76,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2003,0.1149,0.0011,0.0354,0.0069,0.0289,,,,0.0289,2496507.74,8475377.8,73658393.25,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2004,0.1145,0.0011,0.0349,0.007,0.0289,,,,0.0289,2596797.68,8426198.85,75247556.62,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2005,0.1141,0.0012,0.0346,0.007,0.0289,,,,0.0289,2677916.35,8374447.75,75647260.57,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2006,0.1138,0.0012,0.0346,0.0069,0.0287,,,,0.0287,2714337.5,8167284.77,74703630.0,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2007,0.1135,0.0012,0.0346,0.0067,0.0285,,,,0.0285,2781979.74,7898812.9,74559025.33,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2008,0.1131,0.0012,0.0346,0.0065,0.0282,,,,0.0282,2891685.92,7657522.02,75142310.89,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2009,0.1128,0.0012,0.0346,0.0063,0.028,,,,0.028,3022867.81,7407264.92,75787185.76,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2010,0.1125,0.0012,0.0346,0.0062,0.0279,,,,0.0279,3164412.95,7321495.5,76691687.41,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2011,0.1122,0.0013,0.0344,0.0062,0.0279,,,,0.0279,3266575.14,7347631.96,77337917.11,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2012,0.1119,0.0013,0.0342,0.0062,0.028,,,,0.028,3315034.67,7361614.98,77753436.11,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2013,0.1116,0.0013,0.034,0.0062,0.0281,,,,0.0281,3390005.25,7450530.04,77930596.51,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2014,0.1113,0.0013,0.0338,0.0062,0.0282,,,,0.0282,3481321.53,7599178.41,78309258.1,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2015,0.1112,0.0014,0.0338,0.0062,0.0283,,,,0.0283,3571668.9,7701698.37,78945445.36,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2016,0.1115,0.0014,0.0342,0.0065,0.0283,,,,0.0283,3710428.28,7859803.37,79936531.94,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2017,0.1118,0.0014,0.0346,0.0068,0.0283,,,,0.0283,3879541.66,8009941.39,80711003.59,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2018,0.1117,0.0015,0.0346,0.0068,0.0283,,,,0.0283,4015996.14,8088170.38,81833560.82,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (WB),,2019,0.1115,0.0015,0.0345,0.0068,0.0283,,,,0.0283,4187328.16,8138296.8,83552972.18,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1990,0.1506,0.0016,0.0475,0.0043,0.0444,,,,0.0444,1046124.49,669360.43,6916552.69,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1991,0.1505,0.0016,0.0475,0.0043,0.0443,,,,0.0443,1075235.73,695104.4,7100589.47,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1992,0.1504,0.0016,0.0475,0.0043,0.0442,,,,0.0442,1109411.46,723233.66,7296160.58,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1993,0.1503,0.0016,0.0475,0.0043,0.0441,,,,0.0441,1151925.06,754802.56,7535903.88,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1994,0.1503,0.0016,0.0475,0.0043,0.044,,,,0.044,1192789.81,788794.84,7766882.84,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1995,0.1503,0.0016,0.0475,0.0043,0.0439,,,,0.0439,1228533.49,826416.59,7981062.19,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1996,0.1502,0.0016,0.0475,0.0044,0.0439,,,,0.0439,1266198.84,866850.28,8149333.04,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1997,0.1501,0.0016,0.0473,0.0044,0.0438,,,,0.0438,1309154.73,909871.72,8356259.27,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1998,0.15,0.0016,0.0471,0.0044,0.0437,,,,0.0437,1343793.83,953178.84,8480173.27,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,1999,0.1499,0.0016,0.047,0.0045,0.0437,,,,0.0437,1378434.56,999120.55,8626529.74,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2000,0.1497,0.0016,0.0469,0.0045,0.0436,,,,0.0436,1401493.28,1049358.39,8736343.81,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2001,0.1497,0.0016,0.047,0.0046,0.0436,,,,0.0436,1454731.11,1104405.51,8925152.32,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2002,0.1496,0.0016,0.047,0.0046,0.0437,,,,0.0437,1509596.07,1165279.99,9106689.83,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2003,0.1495,0.0016,0.0471,0.0047,0.0437,,,,0.0437,1569554.22,1231385.15,9298354.81,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2004,0.1494,0.0016,0.0471,0.0047,0.0437,,,,0.0437,1617825.41,1298660.69,9436931.45,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2005,0.1493,0.0017,0.0472,0.0048,0.0438,,,,0.0438,1662970.68,1357721.7,9566003.83,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2006,0.1493,0.0017,0.0474,0.0048,0.0438,,,,0.0438,1709928.47,1419222.93,9719664.99,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2007,0.1493,0.0017,0.0477,0.0049,0.0438,,,,0.0438,1753155.23,1492526.91,9838692.81,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2008,0.1494,0.0017,0.0481,0.005,0.0438,,,,0.0438,1812325.56,1565359.28,10027310.56,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2009,0.1495,0.0017,0.0485,0.005,0.0438,,,,0.0438,1871079.38,1624808.88,10199527.61,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2010,0.1495,0.0018,0.0486,0.005,0.0438,,,,0.0438,1927566.64,1674813.21,10343562.36,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2011,0.1495,0.0018,0.0487,0.005,0.0438,,,,0.0438,1974271.07,1711420.08,10522183.68,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2012,0.1497,0.0018,0.0488,0.005,0.044,,,,0.044,2041419.88,1732773.96,10722966.52,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2013,0.1499,0.0018,0.0489,0.0049,0.0442,,,,0.0442,2106959.5,1744745.67,10933545.31,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2014,0.15,0.0018,0.049,0.0049,0.0444,,,,0.0444,2179511.76,1761863.02,11157813.66,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2015,0.15,0.0018,0.049,0.0049,0.0445,,,,0.0445,2279920.65,1784867.93,11464237.37,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2016,0.1496,0.0018,0.0487,0.0049,0.0444,,,,0.0444,2365834.4,1829089.63,11697303.2,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2017,0.1493,0.0018,0.0483,0.0049,0.0444,,,,0.0444,2452172.15,1877571.3,11922783.67,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2018,0.1494,0.0018,0.0483,0.0049,0.0444,,,,0.0444,2542513.35,1899693.48,12168957.23,,,,,,,,,,,,,,,,,,,,,
Eastern Mediterranean Region (WHO),,2019,0.1496,0.0018,0.0484,0.0047,0.0446,,,,0.0446,2646341.8,1889980.93,12410334.58,,,,,,,,,,,,,,,,,,,,,
England,,1990,0.1511,0.0039,0.0449,0.0172,0.0499,,,,0.0499,251684.51,162055.08,3417180.41,,,,,,,,,,,,,,,,,,,,,
England,,1991,0.1507,0.0039,0.0455,0.0176,0.0489,,,,0.0489,249551.96,169423.72,3350258.78,,,,,,,,,,,,,,,,,,,,,
England,,1992,0.1504,0.0039,0.046,0.018,0.0481,,,,0.0481,246589.18,176708.71,3284609.1,,,,,,,,,,,,,,,,,,,,,
England,,1993,0.1502,0.0039,0.0465,0.0183,0.0473,,,,0.0473,245271.6,183864.36,3256991.03,,,,,,,,,,,,,,,,,,,,,
England,,1994,0.1499,0.0039,0.0468,0.0186,0.0468,,,,0.0468,238008.5,192568.02,3163196.92,,,,,,,,,,,,,,,,,,,,,
England,,1995,0.1498,0.0039,0.0469,0.0188,0.0466,,,,0.0466,236008.39,201429.21,3125346.32,,,,,,,,,,,,,,,,,,,,,
England,,1996,0.1497,0.004,0.0469,0.0189,0.0466,,,,0.0466,231415.91,210342.25,3052347.38,,,,,,,,,,,,,,,,,,,,,
England,,1997,0.1496,0.004,0.0468,0.019,0.0466,,,,0.0466,227191.6,220806.56,2976476.15,,,,,,,,,,,,,,,,,,,,,
England,,1998,0.1494,0.004,0.0466,0.0191,0.0467,,,,0.0467,225600.73,232570.9,2927085.41,,,,,,,,,,,,,,,,,,,,,
England,,1999,0.1492,0.004,0.0465,0.0192,0.0467,,,,0.0467,223181.13,243099.15,2871376.53,,,,,,,,,,,,,,,,,,,,,
England,,2000,0.149,0.0041,0.0463,0.0194,0.0467,,,,0.0467,216972.55,248325.73,2768884.14,,,,,,,,,,,,,,,,,,,,,
England,,2001,0.1487,0.0041,0.0462,0.0196,0.0464,,,,0.0464,211976.91,254051.39,2679935.09,,,,,,,,,,,,,,,,,,,,,
England,,2002,0.1481,0.0042,0.046,0.0199,0.0459,,,,0.0459,210482.07,258234.69,2639958.28,,,,,,,,,,,,,,,,,,,,,
England,,2003,0.1475,0.0042,0.0458,0.0203,0.0452,,,,0.0452,207643.46,262899.88,2594654.6,,,,,,,,,,,,,,,,,,,,,
England,,2004,0.1469,0.0043,0.0457,0.0206,0.0446,,,,0.0446,199674.47,268697.03,2506464.2,,,,,,,,,,,,,,,,,,,,,
England,,2005,0.1466,0.0043,0.0457,0.0209,0.0442,,,,0.0442,194356.69,276135.28,2443969.72,,,,,,,,,,,,,,,,,,,,,
England,,2006,0.1469,0.0044,0.046,0.0212,0.0439,,,,0.0439,189533.3,286352.9,2393784.71,,,,,,,,,,,,,,,,,,,,,
England,,2007,0.1476,0.0044,0.0468,0.0216,0.0437,,,,0.0437,185864.31,297074.19,2346488.28,,,,,,,,,,,,,,,,,,,,,
England,,2008,0.1486,0.0045,0.0477,0.022,0.0435,,,,0.0435,183675.93,307661.88,2312036.65,,,,,,,,,,,,,,,,,,,,,
England,,2009,0.1494,0.0045,0.0484,0.0224,0.0433,,,,0.0433,178871.94,312304.29,2252930.63,,,,,,,,,,,,,,,,,,,,,
England,,2010,0.15,0.0045,0.0488,0.0226,0.0433,,,,0.0433,176944.21,313810.84,2210124.95,,,,,,,,,,,,,,,,,,,,,
England,,2011,0.1506,0.0045,0.0488,0.0227,0.0436,,,,0.0436,175585.39,313590.43,2168039.55,,,,,,,,,,,,,,,,,,,,,
England,,2012,0.1516,0.0045,0.0488,0.0229,0.0442,,,,0.0442,177574.17,315992.89,2135825.6,,,,,,,,,,,,,,,,,,,,,
England,,2013,0.1527,0.0046,0.0488,0.0231,0.045,,,,0.045,180091.63,323339.53,2119502.15,,,,,,,,,,,,,,,,,,,,,
England,,2014,0.1536,0.0046,0.0488,0.0232,0.0456,,,,0.0456,180777.46,328775.21,2091539.97,,,,,,,,,,,,,,,,,,,,,
England,,2015,0.154,0.0046,0.0488,0.0232,0.0459,,,,0.0459,183774.92,333372.04,2099648.76,,,,,,,,,,,,,,,,,,,,,
England,,2016,0.1533,0.0046,0.0487,0.0228,0.0455,,,,0.0455,184501.83,328042.38,2106557.25,,,,,,,,,,,,,,,,,,,,,
England,,2017,0.1525,0.0047,0.0486,0.0223,0.0452,,,,0.0452,186108.95,319575.03,2114417.58,,,,,,,,,,,,,,,,,,,,,
England,,2018,0.1524,0.0047,0.0486,0.0221,0.0452,,,,0.0452,192426.89,314861.38,2152215.94,,,,,,,,,,,,,,,,,,,,,
England,,2019,0.1522,0.0047,0.0487,0.0218,0.0452,,,,0.0452,197454.77,313374.55,2179505.0,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1990,0.1359,0.0028,0.0455,0.0095,0.0389,,,,0.0389,2885890.9,3040977.19,43968044.09,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1991,0.1359,0.0028,0.0455,0.0096,0.0388,,,,0.0388,2864421.9,3242526.21,44427017.36,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1992,0.1358,0.0028,0.0454,0.0098,0.0387,,,,0.0387,2862327.27,3475314.89,45462406.16,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1993,0.1358,0.0028,0.0454,0.0099,0.0386,,,,0.0386,2939804.16,3773059.13,47723433.42,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1994,0.1358,0.0028,0.0453,0.01,0.0386,,,,0.0386,2973809.1,4033778.77,49044641.78,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1995,0.1358,0.0028,0.0452,0.0101,0.0385,,,,0.0385,2966563.65,4182325.73,48643263.53,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1996,0.1359,0.0028,0.0452,0.0101,0.0386,,,,0.0386,2928437.95,4235504.1,47157496.5,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1997,0.136,0.0028,0.0451,0.0102,0.0386,,,,0.0386,2905236.59,4211193.94,45747241.23,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1998,0.1363,0.0028,0.0451,0.0102,0.0387,,,,0.0387,2904578.77,4235166.17,44779861.13,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,1999,0.1364,0.0028,0.0451,0.0103,0.0387,,,,0.0387,2956679.9,4485139.72,45333256.33,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2000,0.1365,0.0028,0.0451,0.0103,0.0387,,,,0.0387,2954892.93,4660731.41,45374692.35,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2001,0.1365,0.0028,0.0451,0.0104,0.0386,,,,0.0386,2958316.61,4683980.28,45171963.89,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2002,0.1365,0.0028,0.0452,0.0105,0.0385,,,,0.0385,2998740.82,4732615.5,45436947.05,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2003,0.1364,0.0029,0.0453,0.0106,0.0384,,,,0.0384,3016670.45,4869877.79,45403742.01,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2004,0.1364,0.0029,0.0454,0.0106,0.0382,,,,0.0382,2966697.03,4996023.93,44581562.27,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2005,0.1363,0.0029,0.0455,0.0107,0.0381,,,,0.0381,2990713.85,5321409.71,44907915.14,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2006,0.1364,0.0029,0.0457,0.0107,0.038,,,,0.038,2942556.16,5316684.77,43197293.74,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2007,0.1366,0.003,0.0461,0.0107,0.038,,,,0.038,2943157.23,5348710.05,42536661.01,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2008,0.1368,0.003,0.0464,0.0107,0.038,,,,0.038,2969245.38,5398064.71,42480324.66,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2009,0.1369,0.0031,0.0467,0.0107,0.038,,,,0.038,2960496.69,5260248.13,41478990.95,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2010,0.137,0.0031,0.0469,0.0106,0.038,,,,0.038,2967622.38,5234713.09,41328682.63,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2011,0.1371,0.0031,0.047,0.0106,0.038,,,,0.038,2921693.29,5149374.3,40389903.56,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2012,0.1372,0.0031,0.0472,0.0106,0.038,,,,0.038,2889004.54,5091048.43,40012658.75,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2013,0.1373,0.0032,0.0473,0.0105,0.0379,,,,0.0379,2849023.63,4998916.49,39638510.52,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2014,0.1374,0.0032,0.0474,0.0105,0.0379,,,,0.0379,2825764.84,5057691.39,39518451.41,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2015,0.1374,0.0032,0.0475,0.0104,0.038,,,,0.038,2875271.59,5111737.25,40272741.7,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2016,0.1372,0.0032,0.0474,0.0104,0.0379,,,,0.0379,2964082.22,5076762.58,39846069.92,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2017,0.137,0.0033,0.0473,0.0104,0.0378,,,,0.0378,3126975.83,4927632.11,39364105.77,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2018,0.1368,0.0033,0.0472,0.0103,0.0378,,,,0.0378,3203408.61,4894024.66,39479496.28,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (WB),,2019,0.1365,0.0033,0.047,0.0102,0.0379,,,,0.0379,3279803.93,4873165.65,39641447.9,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1990,0.136,0.0028,0.0455,0.0095,0.0389,,,,0.0389,2906621.94,3053711.42,44229831.67,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1991,0.1359,0.0028,0.0454,0.0096,0.0388,,,,0.0388,2886212.95,3255678.36,44696817.19,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1992,0.1359,0.0028,0.0454,0.0097,0.0387,,,,0.0387,2885369.99,3488940.98,45745645.18,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1993,0.1358,0.0028,0.0453,0.0099,0.0387,,,,0.0387,2963241.93,3787103.29,48010236.31,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1994,0.1358,0.0028,0.0453,0.01,0.0386,,,,0.0386,2997900.75,4047940.84,49333955.8,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1995,0.1358,0.0028,0.0452,0.01,0.0386,,,,0.0386,2991397.41,4197260.49,48936656.83,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1996,0.1359,0.0028,0.0451,0.0101,0.0386,,,,0.0386,2953731.06,4250861.01,47452184.46,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1997,0.1361,0.0028,0.0451,0.0101,0.0387,,,,0.0387,2931125.96,4227492.74,46043797.76,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1998,0.1363,0.0028,0.045,0.0102,0.0387,,,,0.0387,2931104.58,4252451.22,45080436.28,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,1999,0.1365,0.0028,0.045,0.0103,0.0388,,,,0.0388,2983457.13,4503175.48,45631839.51,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,2000,0.1365,0.0028,0.045,0.0103,0.0388,,,,0.0388,2981903.49,4679997.35,45672004.38,,,,,,,,,,,,,,,,,,,,,
European Region (WHO),,2001,0.1365,0.0028,0.0451,0.0104,0.0387,,,,0.0387,2985383.41,4704185.47,45469837.83,,,,,,,,,,,,,,,,,,,,,
