Country,Country Code,Year,Mental disorders,% Eating disorders,% Anxiety disorders,% Drug disorders,% Depressive disorders,%HappyPeople,Annual working hours per worker,GDP,Depressive disorders,Physical Activity,Drug use,Smoking,Life satisfaction,% people who are happy_y,Population,Productivity per hour worked,Region 1,Region 2,Continent,Paid work,Education,Care for household members ,Housework,Shopping,Other unpaid work & volunteering,Sleep,Eating and drinking,Personal care,Sports,Attending events,Seeing friends,TV and Radio,Other leisure activities
Equatorial Guinea,GNQ,1997,0.1366,0.001,0.0389,0.0038,0.06,,,6662.3823,0.06,443.68,709.0,5842.27,,,605579.0,,Middle Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Eritrea,ERI,1997,0.1297,0.0009,0.0375,0.0037,0.0505,,,,0.0505,631.41,3738.18,49538.31,,,2291571.0,,Eastern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Estonia,EST,1997,0.1319,0.0015,0.0365,0.0128,0.0494,,1980.5514,11957.48,0.0494,4331.82,7983.52,92442.27,,,1421491.0,13.651728,Northern Europe,,Europe,230.788021522939,24.7893447101955,27.9284275980724,120.666090020026,23.9597728019747,40.1280203082399,530.015279324412,78.9962069589966,53.6616586103884,27.4746743499677,7.86110981724489,37.6248632000503,122.162536824955,114.283895452449
Eswatini,SWZ,1997,0.1158,0.0014,0.0358,0.0071,0.0432,,,8819.031,0.0432,1063.65,4743.41,9852.7,,,990740.0,,Southern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Ethiopia,ETH,1997,0.1344,0.0006,0.0362,0.0035,0.0505,,,682.9968,0.0505,13913.77,75430.76,382110.35,,,61233480.0,,Eastern Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Fiji,FJI,1997,0.115,0.001,0.0409,0.0071,0.0302,,,6384.437,0.0302,3634.67,1421.13,25593.92,,,804575.0,,Melanesia,,Oceania,,,,,,,,,,,,,,
Finland,FIN,1997,0.1532,0.0048,0.0402,0.0086,0.0528,0.90108803,1726.7855,30470.166,0.0528,19033.26,21421.18,196387.64,,,5139944.0,41.89941,Northern Europe,,Europe,200.047879,29.04912,22.9398629,109.4122,26.1562,80.916035,508.2611,80.64583,51.58296,37.23085,7.714292,54.64598,118.1499,113.2477
France,FRA,1997,0.1695,0.0047,0.0684,0.011,0.0459,0.73757462,1595.6454,30322.691,0.0459,173831.63,171305.22,2090914.84,,,57839364.0,47.492073,Western Europe,,Europe,170.060642467443,34.1045019989028,22.1165593962761,128.50020753154,22.1051012956045,17.3237960153669,512.974630066013,132.757107781042,106.514806242951,11.9611007010534,14.8422208699191,55.2010732353962,113.848906672811,97.6893457256811
Gabon,GAB,1997,0.1316,0.0018,0.0397,0.0049,0.0581,,,10027.706,0.0581,1454.54,2853.92,12663.04,,,1179817.0,,Middle Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Gambia,GMB,1997,0.1306,0.0009,0.0331,0.0034,0.058,,,2687.5923,0.058,562.28,1405.75,12832.28,,,1317003.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Georgia,GEO,1997,0.1133,0.0011,0.0268,0.0046,0.0344,,,3652.0256,0.0344,13004.68,12288.96,241751.62,,,4640033.0,,Western Asia,,Asia,,,,,,,,,,,,,,
Germany,DEU,1997,0.1455,0.0043,0.0663,0.0093,0.0342,0.71407036,1507.6761,33996.99,0.0342,271197.21,295415.66,4100641.46,,,81436096.0,48.596165,Western Europe,,Europe,223.839012333333,24.0421366666667,18.9016653333333,109.3542,32.0904666666667,52.5981883333333,498.3815,94.96315,54.6778833333333,26.43525,13.5282516666667,60.64695,118.4651,112.076283333333
Ghana,GHA,1997,0.1143,0.001,0.0298,0.0039,0.044,,,2996.9326,0.044,11137.38,36095.87,100583.94,,,18268044.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Greece,GRC,1997,0.17,0.0044,0.0602,0.006,0.0571,0.63069309,2107.9448,22679.924,0.0571,24126.22,30368.11,576685.96,,,10875274.0,27.682163,Southern Europe,,Europe,187.368060303144,40.3418236055396,19.0,124.522835539741,16.354266998801,26.0901176499384,500.032934816231,127.534108557959,57.0365120940825,27.6876478923435,5.08617752229421,56.3277883369752,136.969447780922,115.320136761767
Greenland,GRL,1997,0.1788,0.0047,0.0516,0.016,0.0706,,,,0.0706,80.05,355.49,3564.87,,,56092.0,,Northern America,,North America,,,,,,,,,,,,,,
Grenada,GRD,1997,0.1423,0.0019,0.0437,0.0089,0.0333,,,7435.233,0.0333,347.18,170.75,1142.2,,,105563.0,,Caribbean,Latin America and the Caribbean,North America,,,,,,,,,,,,,,
Guam,GUM,1997,0.1152,0.0018,0.0415,0.008,0.0333,,,,0.0333,213.52,425.0,3156.95,,,154342.0,,Micronesia,,Oceania,,,,,,,,,,,,,,
Guatemala,GTM,1997,0.133,0.0017,0.0419,0.004,0.0414,,,4891.013,0.0414,1384.21,16420.61,73305.27,,,10905387.0,,Central America,Latin America and the Caribbean,North America,,,,,,,,,,,,,,
Guinea,GIN,1997,0.1173,0.0009,0.0334,0.0025,0.0431,,,3396.286,0.0431,4162.28,6028.98,86139.79,,,7842811.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1997,0.1155,0.0009,0.0308,0.0027,0.0442,,,1991.6619,0.0442,802.24,1369.99,7911.38,,,1162451.0,,Western Africa,Sub-Saharan Africa,Africa,,,,,,,,,,,,,,
Guyana,GUY,1997,0.156,0.0016,0.0443,0.0066,0.0486,,,4491.9917,0.0486,2788.18,1492.57,12811.42,,,755215.0,,South America,Latin America and the Caribbean,South America,,,,,,,,,,,,,,
Haiti,HTI,1997,0.1492,0.0012,0.0451,0.006,0.0374,,,1708.7142,0.0374,18366.3,21742.05,87138.53,,,7915177.0,,Caribbean,Latin America and the Caribbean,North America,,,,,,,,,,,,,,
Honduras,HND,1997,0.1243,0.0015,0.04,0.0049,0.0316,,,3529.9968,0.0316,1628.81,7542.57,52746.06,,,6144117.0,,Central America,Latin America and the Caribbean,North America,,,,,,,,,,,,,,
Hungary,HUN,1997,0.1174,0.0016,0.0366,0.0066,0.0344,,1954.3046,15012.571,0.0344,32169.0,22072.33,852728.48,,,10286223.0,19.881853,Eastern Europe,,Europe,199.446772180411,38.1672312512111,33.0,149.956138746094,19.2119906963842,35.9840757878987,505.89669795064,101.129999756004,76.112454503358,12.9316792524107,5.64070059617152,35.1334101755587,133.897686789366,93.7462245097509
Iceland,ISL,1997,0.1468,0.0042,0.0556,0.0098,0.0339,,1683.75,36563.273,0.0339,783.97,948.41,9564.82,,,271363.0,41.168324,Northern Europe,,Europe,,,,,,,,,,,,,,
