Country;Year;Mental disorders;% Eating disorders;% Anxiety disorders;% Drug disorders;% Depressive disorders;%HappyPeople;Annual working hours per worker;Depressive disorders;Physical Activity;Drug use;Smoking;Life satisfaction;Productivity per hour worked;Continent;Paid work;Shopping;Personal care;Sports;Seeing friends;TV and Radio;Other leisure activities;Income
Colombia;2017;0.12;0.0023;0.0495;0.0092;0.0233;;1974.2314;0.0233;50691.57;75730.97;455535.11;0.0635029792785645;15.632915;South America;;;;;;;;5930.0
Congo;2017;0.1302;0.0013;0.0382;0.004;0.0562;;;0.0562;6714.5;10621.81;42026.61;0.0521262264251709;;Africa;;;;;;;;
Cook Islands;2017;0.1162;0.0016;0.0427;0.0079;0.0333;;;0.0333;123.2;46.69;625.29;;;Oceania;;;;;;;;
Costa Rica;2017;0.13;0.0025;0.0446;0.0063;0.0341;;2185.2825;0.0341;2827.84;8623.89;52458.15;0.0699761867523193;18.72804;North America;;;;;;;;11500.0
Croatia;2017;0.1169;0.0018;0.0385;0.0088;0.0324;;1823.7676;0.0324;14342.01;9861.52;237462.61;0.056257438659668;33.157127;Europe;;;;;;;;12680.0
Cuba;2017;0.1509;0.002;0.0447;0.0081;0.0397;;;0.0397;62450.23;17375.55;500528.88;;;North America;;;;;;;;
Cyprus;2017;0.1562;0.0044;0.0702;0.0062;0.0327;;1821.4827;0.0327;3355.81;2633.57;38962.78;0.0613683271408081;42.592216;Asia;;;;;;;;24710.0
Czechia;2017;0.1115;0.002;0.034;0.0136;0.0311;;1784.3712;0.0311;43717.2;33783.57;523974.79;;39.42305;Europe;;;;;;;;
Denmark;2017;0.1419;0.0052;0.0546;0.0115;0.0387;;1405.404;0.0387;15633.57;25998.95;273218.42;0.0769300317764282;72.54114;Europe;199.771595915566;26.0309028598608;51.5983613935143;22.1150724298138;81.3715214585051;122.97380825958;94.9450259688467;56690.0
Djibouti;2017;0.1204;0.0011;0.0338;0.0038;0.0462;;;0.0462;313.59;1139.34;15005.97;;;Africa;;;;;;;;2990.0
Dominica;2017;0.1419;0.0022;0.0449;0.0104;0.0315;;;0.0315;369.51;126.34;1026.73;;;North America;;;;;;;;7250.0
Dominican Republic;2017;0.1499;0.0023;0.0469;0.0056;0.0396;;2142.102;0.0396;49680.61;17872.91;207149.44;0.0600423717498779;16.889729;North America;;;;;;;;7090.0
Ecuador;2017;0.1462;0.003;0.0551;0.0065;0.0352;;1566.3596;0.0352;20998.2;28558.92;119084.46;0.0580913114547729;15.323919;South America;;;;;;;;5860.0
Egypt;2017;0.1455;0.0021;0.0477;0.0034;0.0409;;;0.0409;540940.62;132937.47;2181694.8;0.0432783174514771;;Africa;;;;;;;;
El Salvador;2017;0.1326;0.0021;0.0465;0.0039;0.0361;;;0.0361;4680.13;9138.39;44934.79;0.0645482063293457;;North America;;;;;;;;3600.0
Equatorial Guinea;2017;0.1318;0.0023;0.0391;0.0043;0.0582;;;0.0582;1152.99;3513.25;5672.38;;;Africa;;;;;;;;6510.0
Eritrea;2017;0.1292;0.0009;0.0384;0.0037;0.0498;;;0.0498;1510.84;6521.23;55518.21;;;Africa;;;;;;;;
Estonia;2017;0.1218;0.0019;0.0364;0.0169;0.0397;;1856.6827;0.0397;3928.9;15325.24;56122.76;0.0603464126586914;33.487995;Europe;230.788021522939;23.9597728019747;53.6616586103884;27.4746743499677;37.6248632000503;122.162536824955;114.283895452449;18850.0
Eswatini;2017;0.1196;0.0016;0.0366;0.007;0.046;;;0.046;2113.6;7712.02;10804.94;0.0439611482620239;;Africa;;;;;;;;3390.0
Ethiopia;2017;0.1251;0.0008;0.0353;0.0034;0.0471;;;0.0471;16516.49;83260.27;228380.45;0.0409955501556396;;Africa;;;;;;;;740.0
Fiji;2017;0.1152;0.0011;0.0418;0.0071;0.0301;;;0.0301;6739.54;1796.22;29592.26;;;Oceania;;;;;;;;5370.0
Finland;2017;0.1488;0.0052;0.0439;0.0119;0.0444;;1600.3201;0.0444;21733.95;33596.53;164474.18;0.0778034782409668;58.88464;Europe;200.047879;26.1562;51.58296;37.23085;54.64598;118.1499;113.2477;44840.0
France;2017;0.1664;0.0051;0.0691;0.0131;0.0422;;1505.3679;0.0422;186945.5;232388.4;1957463.09;0.0668964433670044;68.37434;Europe;170.060642467443;22.1051012956045;106.514806242951;11.9611007010534;55.2010732353962;113.848906672811;97.6893457256811;38320.0
Gabon;2017;0.1313;0.0018;0.0408;0.0043;0.0565;;;0.0565;2428.89;3677.24;16270.49;0.0491439342498779;;Africa;;;;;;;;6510.0
Gambia;2017;0.1298;0.0009;0.0339;0.0036;0.0561;;;0.0561;1454.69;3793.81;18942.7;0.0516362714767456;;Africa;;;;;;;;
Georgia;2017;0.1099;0.0013;0.0265;0.0052;0.0349;;;0.0349;13515.6;15077.34;194183.28;0.0489183568954468;;Asia;;;;;;;;4040.0
Germany;2017;0.151;0.0046;0.0681;0.011;0.038;;1391.3397;0.038;284551.47;303106.14;3523609.7;0.0703547239303589;69.84848;Europe;223.839012333333;32.0904666666667;54.6778833333333;26.43525;60.64695;118.4651;112.076283333333;43700.0
Ghana;2017;0.1142;0.0012;0.0307;0.0052;0.0445;;;0.0445;26442.44;73419.1;159868.02;0.0496680974960327;;Africa;;;;;;;;1870.0
Greece;2017;0.1709;0.0048;0.0642;0.0064;0.0533;;2045.2413;0.0533;31961.72;26041.33;588710.06;0.0595215749740601;33.359955;Europe;187.368060303144;16.354266998801;57.0365120940825;27.6876478923435;56.3277883369752;136.969447780922;115.320136761767;17970.0
Greenland;2017;0.1775;0.0054;0.053;0.0187;0.0659;;;0.0659;94.74;425.12;3545.63;;;North America;;;;;;;;
Grenada;2017;0.1434;0.0023;0.0448;0.0093;0.0335;;;0.0335;481.25;210.28;1546.76;;;North America;;;;;;;;8740.0
Guam;2017;0.1157;0.0019;0.042;0.008;0.0336;;;0.0336;510.01;486.66;4801.27;;;Oceania;;;;;;;;
Guatemala;2017;0.1327;0.0019;0.0446;0.004;0.0387;;;0.0387;3460.93;36691.84;98267.0;0.062621750831604;;North America;;;;;;;;4100.0
Guinea;2017;0.1186;0.0009;0.034;0.0027;0.0443;;;0.0443;6693.04;13674.95;128638.41;0.0476768445968628;;Africa;;;;;;;;820.0
Guinea-Bissau;2017;0.1177;0.0009;0.0316;0.003;0.0457;;;0.0457;1302.69;3139.4;9639.49;;;Africa;;;;;;;;680.0
Guyana;2017;0.1587;0.0019;0.045;0.0068;0.0518;;;0.0518;4114.32;1714.85;13192.55;;;South America;;;;;;;;5910.0
Haiti;2017;0.1511;0.0012;0.0471;0.0062;0.037;;;0.037;31505.26;22767.21;93987.17;;;North America;;;;;;;;1310.0
Honduras;2017;0.1272;0.0017;0.0425;0.0051;0.033;;;0.033;4106.98;15668.12;103156.89;0.0593005132675171;;North America;;;;;;;;2250.0
Hungary;2017;0.1134;0.0019;0.0367;0.0075;0.0306;;1747.3541;0.0306;31470.8;18374.9;690233.1;0.0600025987625122;33.0558;Europe;199.446772180411;19.2119906963842;76.112454503358;12.9316792524107;35.1334101755587;133.897686789366;93.7462245097509;13190.0
Iceland;2017;0.1457;0.0049;0.056;0.0112;0.0319;;1464.4535;0.0319;819.73;1477.22;8428.99;0.0753250455856323;59.125015;Europe;;;;;;;;60230.0
India;2017;0.1389;0.0013;0.0312;0.0052;0.038;;2122.9407;0.038;2269460.6;3617805.66;26337400.11;0.0324876976013184;8.009788;Asia;271.540982812833;11.5684164415564;75.4933484382237;5.49870466801727;73.2575313102545;61.4372416971058;109.19343947153;1820.0
Indonesia;2017;0.1064;0.0011;0.0368;0.0048;0.0247;;2019.9233;0.0247;534661.45;425241.23;7158168.16;0.0534651279449463;11.354788;Asia;;;;;;;;3530.0
Iraq;2017;0.1494;0.0022;0.0559;0.0037;0.0414;;;0.0414;172369.01;80493.73;693464.76;;;Asia;;;;;;;;4670.0
Ireland;2017;0.1788;0.0049;0.079;0.014;0.0468;;1774.7498;0.0468;15567.88;24117.1;142531.22;0.0725484132766724;109.488304;Europe;231.22452;27.56674;42.27291;20.02075;48.95445;85.1351;116.4735;53810.0
Israel;2017;0.1447;0.0041;0.0405;0.0089;0.0445;;1920.5325;0.0445;19338.21;19422.75;151443.55;0.0733177995681763;41.02011;Asia;;;;;;;;37580.0
Italy;2017;0.1501;0.0059;0.0598;0.0107;0.0378;;1719.1593;0.0378;257937.96;221825.51;2037035.79;0.0644541692733765;56.27207;Europe;148.894551667369;27.7427282210164;67.5124773650722;38.2140859775021;65.3572067967137;103.692722108948;110.171289501065;31370.0
Jamaica;2017;0.1392;0.002;0.0423;0.0104;0.0309;;;0.0309;14412.47;4723.89;45765.0;0.0630923891067505;;North America;;;;;;;;4750.0
Japan;2017;0.1063;0.0042;0.0254;0.0086;0.023;;1743.7;0.023;301147.38;336560.68;4317407.59;0.0590803909301758;42.422935;Asia;325.711372400686;24.9289075041054;84.5629608649925;10.2225999594073;16.912066166024;103.224657268853;147.953249257339;38490.0
Jordan;2017;0.1494;0.002;0.052;0.0045;0.043;;;0.043;21624.26;17266.08;137474.1;0.0445254802703857;;Asia;;;;;;;;4080.0
Kazakhstan;2017;0.1063;0.0017;0.0225;0.0081;0.0369;;;0.0369;44545.0;131229.36;594381.41;0.0627226829528809;;Asia;;;;;;;;8040.0
Kenya;2017;0.1235;0.0011;0.0353;0.0033;0.0485;;;0.0485;7869.62;269274.77;322920.86;0.0461885023117065;;Africa;;;;;;;;1420.0
Kiribati;2017;0.122;0.0007;0.0419;0.0068;0.0305;;;0.0305;561.27;421.79;8373.63;;;Oceania;;;;;;;;3020.0
Kuwait;2017;0.1395;0.0037;0.0486;0.0048;0.0428;;;0.0428;13830.61;7900.81;51362.15;0.0610611963272095;;Asia;;;;;;;;31400.0
Kyrgyzstan;2017;0.1128;0.001;0.0218;0.0055;0.0359;;;0.0359;8657.17;30670.37;141697.51;0.0568522071838379;;Asia;;;;;;;;
Latvia;2017;0.1262;0.0018;0.0406;0.0127;0.0402;;1886.51;0.0402;13477.89;13864.7;97370.31;0.0596975374221802;31.568642;Europe;316.55785239539;15.851147895987;40.139126199078;24.9906312795239;35.084831672703;123.297316798906;80.6722335381973;14850.0
Lebanon;2017;0.1711;0.0024;0.0689;0.0077;0.0525;;;0.0525;35273.71;21150.91;196009.78;0.0402421951293945;;Asia;;;;;;;;7470.0
Lesotho;2017;0.133;0.0011;0.0374;0.0062;0.0569;;;0.0569;2946.44;19415.99;72457.19;0.0351178050041199;;Africa;;;;;;;;1190.0
Liberia;2017;0.1276;0.0008;0.0355;0.0041;0.049;;;0.049;3360.93;7508.54;21251.79;0.0512146091461182;;Africa;;;;;;;;620.0
Libya;2017;0.1527;0.0022;0.0553;0.0087;0.0455;;;0.0455;29640.83;34067.03;107172.27;0.0533022212982178;;Africa;;;;;;;;5410.0
Lithuania;2017;0.1329;0.0018;0.0459;0.0087;0.0431;;1876.4305;0.0431;19729.58;18722.33;131468.57;0.0606409788131714;32.991947;Europe;303.647286983591;17.2769022801563;54.2643061197636;15.9622240010951;31.7824607910675;136.784337352373;60.7308365857219;15280.0
Luxembourg;2017;0.149;0.0062;0.0581;0.0134;0.0354;;1505.6897;0.0354;1360.83;2699.68;16955.05;0.0740401554107666;83.16536;Europe;247.225461265374;23.030768700503;55.272546259104;33.2370820507518;32.301265480461;116.073319917597;82.3320368322953;66460.0
Madagascar;2017;0.1303;0.0009;0.0408;0.0035;0.0484;;;0.0484;5874.88;23206.97;187581.75;0.0433908748626709;;Africa;;;;;;;;470.0
Malawi;2017;0.125;0.0008;0.0396;0.0035;0.0422;;;0.0422;4337.13;20808.09;137419.69;0.0386912369728088;;Africa;;;;;;;;370.0
Malaysia;2017;0.1221;0.0016;0.0488;0.0061;0.0385;;2197.058;0.0385;77182.08;113165.97;670465.88;0.0542795419692993;23.654076;Asia;;;;;;;;9950.0
Maldives;2017;0.1111;0.0013;0.0376;0.0056;0.0306;;;0.0306;566.98;971.91;5470.85;;;Asia;;;;;;;;8600.0
Mali;2017;0.1053;0.0009;0.0277;0.0027;0.0356;;;0.0356;8109.22;18228.26;101777.37;0.0498799180984497;;Africa;;;;;;;;770.0
Malta;2017;0.1562;0.0045;0.0685;0.0108;0.0333;;1897.1754;0.0333;2971.05;1626.59;14090.97;0.0673297739028931;39.21617;Europe;;;;;;;;24140.0
Marshall Islands;2017;0.1183;0.0008;0.0414;0.0074;0.0299;;;0.0299;282.59;196.87;1820.08;;;Oceania;;;;;;;;4390.0
Mauritania;2017;0.1056;0.0012;0.0282;0.0037;0.0373;;;0.0373;6867.24;3495.57;23711.98;0.0415261936187744;;Africa;;;;;;;;1500.0
Mauritius;2017;0.1186;0.0014;0.0395;0.007;0.0395;;;0.0395;7064.45;6050.34;28665.31;0.0624116516113281;;Africa;;;;;;;;10980.0
Mexico;2017;0.1225;0.0026;0.0373;0.0057;0.0376;;2148.0;0.0376;271515.11;275439.26;1203378.84;0.0643194532394409;21.020313;North America;302.333564;14.17935;57.88589;13.57335;44.15583;65.65993;41.33212;8920.0
Monaco;2017;0.1603;0.0094;0.0604;0.0115;0.0446;;;0.0446;200.85;129.31;2201.29;;;Europe;;;;;;;;
Mongolia;2017;0.1134;0.0014;0.0226;0.0062;0.0426;;;0.0426;2941.45;16745.5;107492.2;0.0556290531158447;;Asia;;;;;;;;3230.0
Montenegro;2017;0.1165;0.0016;0.0392;0.0065;0.0304;;;0.0304;1702.18;1392.84;46615.22;0.0538602495193481;;Europe;;;;;;;;7410.0
Morocco;2017;0.1574;0.0019;0.0497;0.005;0.0532;;;0.0532;214905.34;90032.1;615078.2;0.0505675172805786;;Africa;;;;;;;;2880.0
Mozambique;2017;0.1332;0.0008;0.0411;0.0037;0.0504;;;0.0504;6910.12;50266.89;264800.85;0.0493213272094727;;Africa;;;;;;;;470.0
Myanmar;2017;0.1089;0.0009;0.0406;0.0052;0.0222;;2447.0576;0.0222;73278.53;296713.91;1548094.72;0.0443423748016357;4.7354836;Asia;;;;;;;;1200.0
Namibia;2017;0.111;0.0016;0.0365;0.0072;0.0371;;;0.0371;4575.98;11494.96;29392.91;0.0443581104278564;;Africa;;;;;;;;4620.0
Nauru;2017;0.1179;0.0011;0.0421;0.0074;0.0328;;;0.0328;35.79;32.96;431.28;;;Oceania;;;;;;;;12370.0
Nepal;2017;0.1381;0.0011;0.0336;0.0039;0.0501;;;0.0501;28016.82;54771.93;792546.72;0.054487247467041;;Asia;;;;;;;;990.0
Netherlands;2017;0.1655;0.0042;0.0742;0.0113;0.0388;;1436.7656;0.0388;24019.6;41148.15;709800.16;0.0742526865005493;70.61846;Europe;217.630356318106;28.2024906217988;64.5061109108366;22.399997144601;72.5618568659854;112.522823561325;100.634398278194;47160.0
New Zealand;2017;0.1903;0.0067;0.0805;0.0184;0.0413;;1752.575;0.0413;12176.16;17274.25;111567.25;0.0720517444610596;42.7376;Oceania;241.0;24.0;42.0;17.0;69.0;124.0;85.0;38780.0
Nicaragua;2017;0.1329;0.0017;0.0462;0.004;0.0346;;;0.0346;3373.34;8324.52;41076.33;0.0611254501342773;;North America;;;;;;;;2030.0
Niger;2017;0.1162;0.0008;0.0303;0.003;0.0427;;;0.0427;8404.38;14273.13;63544.79;0.0500354433059692;;Africa;;;;;;;;520.0
Nigeria;2017;0.1072;0.0013;0.0304;0.003;0.0387;;;0.0387;109335.17;626620.15;555586.43;0.043564190864563;;Africa;;;;;;;;2090.0
Niue;2017;0.1176;0.0012;0.0421;0.0078;0.033;;;0.033;14.8;5.33;72.19;;;Oceania;;;;;;;;
North Macedonia;2017;0.1135;0.0015;0.0385;0.0046;0.0274;;;0.0274;7576.37;5144.23;141716.68;0.0501548528671265;;Europe;;;;;;;;4920.0
Northern Mariana Islands;2017;0.1121;0.0016;0.042;0.008;0.029;;;0.029;211.0;163.39;1868.49;;;Oceania;;;;;;;;
Norway;2017;0.1608;0.0051;0.0729;0.0101;0.0355;;1380.779;0.0355;13878.41;24736.61;128922.08;0.0744213962554932;96.84903;Europe;200.78622;20.44092;55.76926;20.90907;57.0152;128.6927;153.5697;75650.0
Oman;2017;0.1361;0.0028;0.0474;0.0038;0.0405;;;0.0405;14363.78;8845.23;30065.85;;;Asia;;;;;;;;13970.0
Pakistan;2017;0.1292;0.0012;0.0359;0.0052;0.0397;;1966.9072;0.0397;377938.7;562271.59;3964909.51;0.0444271755218506;8.322207;Asia;;;;;;;;1400.0
Palau;2017;0.1164;0.0013;0.0414;0.0078;0.0325;;;0.0325;132.27;64.66;957.42;;;Oceania;;;;;;;;16650.0
Panama;2017;0.1218;0.0029;0.0388;0.0066;0.0312;;;0.0312;2179.79;5735.86;28032.5;0.0608595514297485;;North America;;;;;;;;13750.0
Papua New Guinea;2017;0.1191;0.0008;0.0406;0.0069;0.0314;;;0.0314;16754.25;19543.94;228189.48;;;Oceania;;;;;;;;2590.0
Paraguay;2017;0.1584;0.0022;0.0663;0.0071;0.0391;;;0.0391;8325.94;19311.61;107019.12;0.056526255607605;;South America;;;;;;;;5370.0
Peru;2017;0.1383;0.0031;0.0584;0.0094;0.0232;;2139.6018;0.0232;26405.27;86223.36;117368.93;0.0599938154220581;10.748999;South America;;;;;;;;6060.0
Philippines;2017;0.1193;0.0011;0.0472;0.0055;0.0286;;2168.2964;0.0286;57054.96;140692.18;2921612.04;0.0626774501800537;9.45045;Asia;;;;;;;;3530.0
Poland;2017;0.1046;0.002;0.0334;0.009;0.023;;2029.3583;0.023;137760.58;108671.93;2039521.94;0.0624209403991699;33.66429;Europe;229.279299471607;25.0228297949979;57.4597278760614;23.2448354507718;45.1370103305674;121.836563898405;93.1213832904991;12730.0
Portugal;2017;0.1846;0.0046;0.0878;0.0087;0.0481;;1873.6191;0.0481;53362.83;31306.08;326525.87;0.0609547328948975;34.622093;Europe;258.797202797203;15.1048951048951;58.4055944055944;12.0839160839161;43.8041958041958;113.79020979021;60.4195804195804;20060.0
Puerto Rico;2017;0.1418;0.0033;0.0467;0.0101;0.0299;;;0.0299;24376.27;9615.74;65922.86;;;North America;;;;;;;;20000.0
Qatar;2017;0.1349;0.0037;0.0449;0.0045;0.0415;;;0.0415;6750.4;5915.91;18504.1;;;Asia;;;;;;;;56920.0
